CountyName,Year,beef,milk,steers,bulls,dairy_150,dairy_440,fin_cattle,hogs_fin,hogs_sow,hogs_boars
ADAIR,1968,33900,3500,15723,1695,1506,1506,10974,109267,594,11880
ADAIR,1969,34700,3300,18085,1735,1419,1419,11762,100933,553,11056
ADAIR,1970,36400,3300,18085,1820,1305,1305,11762,110600,547,10943
ADAIR,1971,38000,3000,16279,1900,1054,1054,11160,104933,463,9252
ADAIR,1972,41300,2800,17260,2065,939,939,11487,101267,475,9510
ADAIR,1973,39200,2300,15707,1960,879,879,10969,101933,471,9416
ADAIR,1974,36400,2000,14015,1820,840,840,10738,97600,408,8151
ADAIR,1975,37800,2100,9807,1890,992,992,8736,94467,428,8559
ADAIR,1976,37700,2350,12503,1885,1316,1316,10318,97367,472,9444
ADAIR,1977,40038,2362,12422,2002,1291,1291,10974,109467,506,10124
ADAIR,1978,40800,2300,13811,2040,1282,1282,12437,108333,534,10681
ADAIR,1979,37000,2200,13239,1850,1283,1283,11746,125000,493,9866
ADAIR,1980,40000,2300,11359,2000,1260,1260,10453,136667,491,9814
ADAIR,1981,41600,2200,11196,2080,1166,1166,11065,129648,483,9655
ADAIR,1982,40300,2000,9235,2015,1108,1108,10545,116667,418,8367
ADAIR,1983,33900,1800,9888,1695,1153,1153,11129,106667,426,8526
ADAIR,1984,30200,1400,8172,1510,902,902,8357,106333,405,8105
ADAIR,1985,27800,1100,7191,1390,619,619,7397,110333,386,7730
ADAIR,1986,25000,1100,7355,1250,744,744,7285,84000,371,7425
ADAIR,1987,25000,1100,8090,1250,707,707,8530,77333,391,7824
ADAIR,1988,27000,1100,8131,1350,537,537,8710,82000,375,7495
ADAIR,1989,28200,1300,7518,1410,630,630,7673,89667,394,7870
ADAIR,1990,25900,1000,8009,1295,572,572,8135,82823,375,7495
ADAIR,1991,25694,838,8417,1285,449,449,8570,77771,422,8432
ADAIR,1992,25534,765,7191,1277,422,422,8460,69839,398,7964
ADAIR,1993,25144,689,7273,1257,371,371,8786,62338,398,7964
ADAIR,1994,24639,621,7518,1232,326,326,9166,53986,351,7027
ADAIR,1995,24935,516,7437,1247,274,274,9438,45274,319,6371
ADAIR,1996,24089,430,7355,1204,219,219,9710,36911,293,5856
ADAIR,1997,23830,314,8172,1192,136,136,10281,31732,196,3912
ADAIR,1998,22672,295,8172,1134,136,136,8724,32017,165,3306
ADAIR,1999,22769,266,8336,1138,116,116,9579,31732,136,2712
ADAIR,2000,22630,239,8989,1132,98,98,9763,31173,114,2274
ADAIR,2001,21500,198,8581,1075,86,86,9027,31052,96,1920
ADAIR,2002,22289,195,13495,1114,70,70,10461,30732,75,1500
ADAIR,2003,22000,300,10293,1100,133,133,9431,27261,64,1270
ADAIR,2004,23000,203,8679,1150,74,74,8560,23781,57,1138
ADAIR,2005,26000,179,7960,1300,63,63,8320,20312,49,988
ADAIR,2006,26000,170,7467,1300,49,49,8156,17031,41,830
ADAIR,2007,18026,94,9555,901,30,30,7694,14116,31,627
ADAIR,2008,19200,383,7098,960,126,126,6523,18300,29,571
ADAIR,2009,18400,384,6479,920,141,141,5965,23585,29,571
ADAIR,2010,17800,386,6388,890,144,144,5583,29203,27,545
ADAIR,2011,17100,376,6068,855,157,157,5124,35190,26,512
ADAIR,2012,17222,195,6319,861,94,94,4856,41045,20,409
ADAIR,2013,16708,195,5609,835,105,105,4918,58944,23,464
ADAIR,2014,15789,192,5832,789,105,105,5290,77710,24,483
ADAIR,2015,16259,200,6173,813,110,110,5702,95608,25,492
ADAIR,2016,16954,203,6605,848,103,103,6145,114421,25,492
ADAIR,2017,18049,165,9310,902,86,86,7345,132847,24,478
ADAIR,2018,16475,214,7375,824,148,148,6700,133510,24,488
ADAIR,2019,16119,214,7489,806,150,150,6738,134281,25,502
ADAMS,1968,22500,1500,10847,1125,657,657,7857,152309,62,1241
ADAMS,1969,23300,1200,12477,1165,548,548,8400,149309,58,1154
ADAMS,1970,24600,1000,12477,1230,385,385,8400,151975,57,1143
ADAMS,1971,24700,800,11231,1235,283,283,7985,148309,48,967
ADAMS,1972,24300,700,11907,1215,278,278,8210,144309,50,993
ADAMS,1973,23800,600,10836,1190,196,196,7645,142975,49,983
ADAMS,1974,22300,600,9669,1115,237,237,7656,139309,43,851
ADAMS,1975,24600,600,6765,1230,276,276,6255,140875,45,893
ADAMS,1976,26500,500,8626,1325,287,287,6709,69033,49,987
ADAMS,1977,25706,508,8570,1285,278,278,6523,67467,53,1057
ADAMS,1978,23900,500,9528,1195,270,270,7009,65667,56,1115
ADAMS,1979,23000,600,9133,1150,281,281,6378,72333,52,1030
ADAMS,1980,22000,600,7837,1100,272,272,5946,75000,51,1025
ADAMS,1981,23900,600,7724,1195,267,267,5841,76970,50,1009
ADAMS,1982,23100,600,6371,1155,316,316,5424,75000,44,873
ADAMS,1983,20300,600,6822,1015,341,341,5341,71667,45,890
ADAMS,1984,20500,500,5638,1025,206,206,4079,67000,42,847
ADAMS,1985,19500,400,4961,975,122,122,3820,69333,40,808
ADAMS,1986,18500,400,5074,925,160,160,3858,51667,39,775
ADAMS,1987,18000,300,5581,900,174,174,4860,46667,41,817
ADAMS,1988,19500,300,5610,975,133,133,4703,50667,39,783
ADAMS,1989,20000,400,5187,1000,171,171,4729,54667,41,822
ADAMS,1990,18700,300,5525,935,146,146,4914,53736,39,783
ADAMS,1991,18537,262,5807,927,123,123,5080,54207,44,881
ADAMS,1992,18407,252,4961,920,128,128,4871,52600,42,831
ADAMS,1993,18111,241,5018,906,125,125,4962,51310,42,831
ADAMS,1994,17733,235,5187,887,124,124,5090,49149,37,734
ADAMS,1995,17931,214,5130,897,119,119,5144,46326,33,666
ADAMS,1996,17307,203,5074,865,114,114,5197,43447,31,611
ADAMS,1997,17106,177,5638,855,90,90,5458,44984,119,2384
ADAMS,1998,16169,180,5638,808,93,93,4713,43164,96,1914
ADAMS,1999,16126,177,5751,806,83,83,5117,40448,73,1463
ADAMS,2000,15911,174,6202,796,74,74,5267,37415,55,1101
ADAMS,2001,15000,160,5920,750,68,68,4873,34953,39,770
ADAMS,2002,14817,263,7832,741,72,72,6261,32286,20,399
ADAMS,2003,16500,222,6235,825,55,55,5745,36026,18,367
ADAMS,2004,15500,145,5507,775,33,33,5169,39646,18,363
ADAMS,2005,17000,161,5310,850,45,45,5103,43133,18,354
ADAMS,2006,15000,207,5263,750,94,94,5754,46901,17,346
ADAMS,2007,18016,397,7156,901,25,25,4975,51867,16,318
ADAMS,2008,12635,721,5271,632,263,263,4348,53230,14,286
ADAMS,2009,11532,724,4764,577,322,322,4179,53142,41,814
ADAMS,2010,10596,727,4643,530,369,369,4140,54132,68,1364
ADAMS,2011,9610,709,4349,480,442,442,4043,55770,97,1933
ADAMS,2012,10033,368,4452,502,167,167,4078,57019,108,2165
ADAMS,2013,10500,367,4118,525,160,160,3999,54839,123,2455
ADAMS,2014,9900,361,4429,495,155,155,4136,53889,128,2557
ADAMS,2015,10700,376,4819,535,145,145,4298,51825,130,2608
ADAMS,2016,11500,382,5278,575,117,117,4484,50833,130,2608
ADAMS,2017,13043,310,7589,652,83,83,5287,49374,127,2531
ADAMS,2018,13200,403,6012,660,129,129,4761,50031,129,2582
ADAMS,2019,12900,403,6105,645,128,128,4792,50796,133,2658
ALLAMAKEE,1968,21000,23700,8842,1050,9652,9652,5704,81478,329,6573
ALLAMAKEE,1969,23000,22500,10170,1150,8204,8204,6147,74311,306,6117
ALLAMAKEE,1970,23700,21500,10170,1185,7954,7954,6147,82311,303,6055
ALLAMAKEE,1971,28100,20700,9155,1405,6923,6923,5809,77644,256,5119
ALLAMAKEE,1972,29600,20300,9706,1480,7915,7915,5992,72644,263,5262
ALLAMAKEE,1973,29000,19800,8833,1450,7286,7286,5411,74644,261,5210
ALLAMAKEE,1974,29100,19900,7882,1455,8562,8562,5594,71311,226,4510
ALLAMAKEE,1975,30500,20800,5515,1525,8709,8709,4938,68244,237,4735
ALLAMAKEE,1976,34600,20800,7031,1730,10952,10952,5677,84367,261,5226
ALLAMAKEE,1977,33400,22400,6985,1670,11831,11831,5462,91833,280,5602
ALLAMAKEE,1978,32200,23400,7767,1610,13262,13262,6589,88333,295,5910
ALLAMAKEE,1979,29500,22500,7445,1475,12782,12782,5982,100000,273,5459
ALLAMAKEE,1980,32000,22300,6388,1600,12877,12877,5463,96667,272,5430
