Number,CountyName,Year,beef,milk,steers,bulls,dairy_150,dairy_440,fin_cattle,hogs_fin,hogs_sow,hogs_boars,corng_y,corng_pa,corng_ha,soy_y,soy_pa,soy_ha,CN_lb/ac,CN,MN,FN,GN,NS
0,ADAIR,1968,33900,3500,15723,1695,1506,1506,10974,109267,594,11880,84.0,76400,75000.0,32.3,54800,46400.0,23.68274743,26.5,44.6,31.8,91.6,11.3
1,ADAIR,1969,34700,3300,18085,1735,1419,1419,11762,100933,553,11056,90.0,80000,77000.0,31.2,54700,44000.0,14.60737215,16.4,42.4,28.5,91.3,-4.0
2,ADAIR,1970,36400,3300,18085,1820,1305,1305,11762,110600,547,10943,84.1,84600,81500.0,33.9,54600,44400.0,14.85291802,16.7,43.0,33.3,91.8,1.2
3,ADAIR,1971,38000,3000,16279,1900,1054,1054,11160,104933,463,9252,97.0,95700,92500.0,33.3,54500,43100.0,18.58362064,20.8,37.9,29.6,94.6,-6.3
4,ADAIR,1972,41300,2800,17260,2065,939,939,11487,101267,475,9510,109.0,85800,83500.0,33.0,54400,50400.0,18.95093693,21.2,40.6,31.0,103.8,-11.0
5,ADAIR,1973,39200,2300,15707,1960,879,879,10969,101933,471,9416,104.1,91600,88700.0,32.0,54300,53600.0,36.61664595,41.0,37.6,27.7,99.9,6.4
6,ADAIR,1974,36400,2000,14015,1820,840,840,10738,97600,408,8151,57.3,104500,95300.0,26.5,54200,51600.0,42.04502487,47.1,32.6,15.3,67.6,27.4
7,ADAIR,1975,37800,2100,9807,1890,992,992,8736,94467,428,8559,64.6,109400,101300.0,27.7,55500,55400.0,37.14152619,41.6,29.9,17.3,73.1,15.7
8,ADAIR,1976,37700,2350,12503,1885,1316,1316,10318,97367,472,9444,100.1,113900,108800.0,30.3,52100,51900.0,45.3151938,50.8,31.8,20.5,92.3,10.8
9,ADAIR,1977,40038,2362,12422,2002,1291,1291,10974,109467,506,10124,50.1,117600,109900.0,31.4,55000,54500.0,29.20325842,32.7,33.1,22.7,69.6,18.9
10,ADAIR,1978,40800,2300,13811,2040,1282,1282,12437,108333,534,10681,103.7,115000,109000.0,33.6,55300,55000.0,26.49783522,29.7,34.3,27.0,99.5,-8.5
11,ADAIR,1979,37000,2200,13239,1850,1283,1283,11746,125000,493,9866,114.7,120000,116000.0,34.5,58800,58300.0,33.75567017,37.8,33.9,28.9,106.2,-5.6
12,ADAIR,1980,40000,2300,11359,2000,1260,1260,10453,136667,491,9814,89.7,120000,116000.0,37.5,59300,56500.0,33.73850496,37.8,35.2,34.5,97.5,10.0
13,ADAIR,1981,41600,2200,11196,2080,1166,1166,11065,129648,483,9655,121.0,123000,120100.0,43.0,61400,61400.0,35.64754317,40.0,33.6,44.6,121.9,-3.7
14,ADAIR,1982,40300,2000,9235,2015,1108,1108,10545,116667,418,8367,102.2,119000,114900.0,32.7,62100,61900.0,31.84733703,35.7,31.4,26.8,98.5,-4.6
15,ADAIR,1983,33900,1800,9888,1695,1153,1153,11129,106667,426,8526,77.3,76000,73200.0,35.1,65200,65200.0,34.3206913,38.5,37.5,42.1,101.5,16.6
16,ADAIR,1984,30200,1400,8172,1510,902,902,8357,106333,405,8105,97.4,117000,113500.0,25.4,63100,62900.0,33.46097083,37.5,26.8,13.6,85.4,-7.5
17,ADAIR,1985,27800,1100,7191,1390,619,619,7397,110333,386,7730,127.9,116000,111800.0,39.5,64300,64000.0,34.54827423,38.7,26.0,41.0,122.1,-16.4
18,ADAIR,1986,25000,1100,7355,1250,744,744,7285,84000,371,7425,128.3,105000,101900.0,42.0,69400,69200.0,35.54972185,39.9,22.6,51.2,129.7,-16.0
19,ADAIR,1987,25000,1100,8090,1250,707,707,8530,77333,391,7824,128.4,91000,89500.0,43.9,63400,63100.0,40.98741536,45.9,25.2,57.0,133.9,-5.8
20,ADAIR,1988,27000,1100,8131,1350,537,537,8710,82000,375,7495,86.1,99000,91700.0,28.6,68100,67800.0,40.79213989,45.7,24.3,22.9,89.0,3.9
21,ADAIR,1989,28200,1300,7518,1410,630,630,7673,89667,394,7870,131.4,108000,105700.0,38.4,67900,67000.0,43.24689562,48.5,24.1,42.1,123.7,-9.0
22,ADAIR,1990,25900,1000,8009,1295,572,572,8135,82823,375,7495,115.1,114000,111700.0,36.7,66200,65800.0,47.21006772,52.9,22.1,36.7,112.2,-0.5
23,ADAIR,1991,25694,838,8417,1285,449,449,8570,77771,422,8432,126.4,111000,109200.0,42.4,69400,68900.0,52.89523976,59.3,21.5,50.3,128.0,3.1
24,ADAIR,1992,25534,765,7191,1277,422,422,8460,69839,398,7964,140.0,114000,112400.0,41.6,70000,69800.0,51.42488551,57.6,19.6,48.1,132.6,-7.3
