CountyName,Year,corng_pa,corng_y,corng_ha,soy_pa,soy_y,soy_ha
ADAIR,1968,76400,84,75000,54800,32.3,46400
ADAIR,1969,80000,90,77000,54700,31.2,44000
ADAIR,1970,84600,84.1,81500,54600,33.9,44400
ADAIR,1971,95700,97,92500,54500,33.3,43100
ADAIR,1972,85800,109,83500,54400,33,50400
ADAIR,1973,91600,104.1,88700,54300,32,53600
ADAIR,1974,104500,57.3,95300,54200,26.5,51600
ADAIR,1975,109400,64.6,101300,55500,27.7,55400
ADAIR,1976,113900,100.1,108800,52100,30.3,51900
ADAIR,1977,117600,50.1,109900,55000,31.4,54500
ADAIR,1978,115000,103.7,109000,55300,33.6,55000
ADAIR,1979,120000,114.7,116000,58800,34.5,58300
ADAIR,1980,120000,89.7,116000,59300,37.5,56500
ADAIR,1981,123000,121,120100,61400,43,61400
ADAIR,1982,119000,102.2,114900,62100,32.7,61900
ADAIR,1983,76000,77.3,73200,65200,35.1,65200
ADAIR,1984,117000,97.4,113500,63100,25.4,62900
ADAIR,1985,116000,127.9,111800,64300,39.5,64000
ADAIR,1986,105000,128.3,101900,69400,42,69200
ADAIR,1987,91000,128.4,89500,63400,43.9,63100
ADAIR,1988,99000,86.1,91700,68100,28.6,67800
ADAIR,1989,108000,131.4,105700,67900,38.4,67000
ADAIR,1990,114000,115.1,111700,66200,36.7,65800
ADAIR,1991,111000,126.4,109200,69400,42.4,68900
ADAIR,1992,114000,140,112400,70000,41.6,69800
ADAIR,1993,105000,76.8,98400,77000,31.4,76700
ADAIR,1994,110000,151,107800,77000,49.8,76900
ADAIR,1995,100000,85,98000,86000,30.7,85800
ADAIR,1996,107000,119.9,105000,96000,37.1,95800
ADAIR,1997,99500,120.1,96400,95900,40.1,94500
ADAIR,1998,104600,142.7,101300,95100,43.4,94500
ADAIR,1999,106000,139.3,103600,101000,42.2,100800
ADAIR,2000,105000,131.8,102700,102000,40,101800
ADAIR,2001,102000,127.3,99600,99000,39.2,98400
ADAIR,2002,108000,154.3,105000,97000,47.2,96300
ADAIR,2003,103500,131.3,100500,101000,28.1,100600
ADAIR,2004,108000,182.1,106000,98000,51.7,97700
ADAIR,2005,109000,159,106500,96500,48.8,96000
ADAIR,2006,104000,164.9,103300,101500,51,101000
ADAIR,2007,116500,160.7,115100,91000,53.3,90900
ADAIR,2008,104000,169,102000,106000,45.5,105300
ADAIR,2009,113500,179.3,112000,94500,51.5,93900
ADAIR,2010,105500,139.1,104500,102000,48.7,101300
ADAIR,2011,112000,152.8,109300,103500,50.3,101900
ADAIR,2012,110000,104.4,104500,105500,38.6,105200
ADAIR,2013,113000,137.8,109900,104000,36.8,103500
ADAIR,2014,109500,169.3,104300,106000,50,102700
ADAIR,2015,112000,176.5,107400,106500,55.1,106100
ADAIR,2016,115000,190.3,113800,107000,59.3,106700
ADAIR,2017,108500,175.2,104100,110500,50.5,109900
ADAIR,2018,108500,149.5,103100,106500,50.1,105700
ADAIR,2019,111500,176.6,107300,101500,53.3,100900
ADAMS,1968,55800,93.3,55000,27500,36.9,32400
ADAMS,1969,58000,89,56000,28200,29.7,31000
ADAMS,1970,59900,76.4,57800,28900,31.8,28300
ADAMS,1971,65100,96,63600,29600,31.9,27400
ADAMS,1972,59000,105.9,57400,30300,33,30400
ADAMS,1973,61600,101,59100,31000,31,30600
ADAMS,1974,67800,42.5,60800,31700,25.2,31600
ADAMS,1975,67100,57.6,62100,33800,29.9,33700
ADAMS,1976,71700,101.6,68300,30900,31.8,30700
ADAMS,1977,71900,60.8,68000,35300,31,35000
ADAMS,1978,70000,95.5,67000,36200,31.1,36000
ADAMS,1979,79000,116.4,73000,37500,35.8,37400
ADAMS,1980,84000,78.4,74000,40100,35.2,38900
ADAMS,1981,85000,119.6,79600,44100,40.1,44100
ADAMS,1982,73000,95.3,68300,47600,29.3,47500
ADAMS,1983,49000,60.1,45700,44500,26.9,44500
ADAMS,1984,63000,70,60800,49300,19.6,48600
ADAMS,1985,66000,126.1,64400,50200,38.5,50000
ADAMS,1986,59000,119.6,57900,52900,40,52500
ADAMS,1987,51000,125.8,49700,44200,40.8,44000
ADAMS,1988,56000,73.5,54900,42100,22.6,41900
ADAMS,1989,63000,110.1,60500,43700,35.5,43600
ADAMS,1990,64000,119.4,62500,41900,38.5,41700
ADAMS,1991,61000,133.7,60000,44100,40.8,44000
ADAMS,1992,64000,135.4,62900,44000,41.1,43800
ADAMS,1993,58000,79,53800,45000,33.1,44700
ADAMS,1994,63000,148.2,61100,45000,48.5,44900
ADAMS,1995,46000,87.3,44600,55000,28.7,54800
ADAMS,1996,66000,125.4,63100,53000,40,52900
ADAMS,1997,57300,119.9,55700,57000,42.3,56400
ADAMS,1998,64500,137.7,62100,56500,43.7,56300
ADAMS,1999,61000,128.1,59000,60000,39.4,59900
ADAMS,2000,64000,140,62300,60000,41.7,59800
ADAMS,2001,60000,120.3,58500,62000,40.7,61500
ADAMS,2002,66000,132.3,63500,59000,43.5,58600
ADAMS,2003,62000,122.2,59500,62000,27.5,61800
ADAMS,2004,65000,169.3,63500,62000,50.7,61800
ADAMS,2005,66000,157.1,64500,61000,50.2,60700
ADAMS,2006,65500,145.4,63800,61000,45.2,60800
ADAMS,2007,71000,153.4,69200,57000,51.5,56900
ADAMS,2008,65500,156,64000,63700,39,63200
ADAMS,2009,72000,168.1,71200,62500,51,62200
ADAMS,2010,71000,139.3,69000,65000,47.7,64200
ADAMS,2011,73000,151.7,71000,67800,46.9,66800
ADAMS,2012,73500,109.8,71500,68000,40.9,67800
ADAMS,2013,74500,147.6,71100,70100,44.1,69800
ADAMS,2014,75500,169.9,73900,70000,47.6,69700
ADAMS,2015,74400,169.6,72400,66800,50.3,66500
ADAMS,2016,74000,187.4,70800,69400,56.5,69200
ADAMS,2017,71500,179.9,67300,71500,52.6,71100
ADAMS,2018,71000,171.6,68900,69500,53.2,69000
ADAMS,2019,70500,172,68950,67500,54,66900
ALLAMAKEE,1968,58600,90.3,52000,8200,29.5,2100
ALLAMAKEE,1969,59000,101,51000,7600,28.3,3000
ALLAMAKEE,1970,62400,96.1,55900,7000,32.3,4000
ALLAMAKEE,1971,70700,100.2,62700,6400,26.1,3600
ALLAMAKEE,1972,66300,109.2,58400,5800,31,3900
ALLAMAKEE,1973,72500,108.3,63500,5200,31.6,5100
ALLAMAKEE,1974,82500,87.9,68600,4600,25.6,4500
ALLAMAKEE,1975,76500,97.7,63400,3700,28.6,3700
ALLAMAKEE,1976,80100,87.4,64900,3100,27,3000
ALLAMAKEE,1977,81300,118.5,69600,2100,38.1,2100
ALLAMAKEE,1978,85000,118,75000,3100,36.7,3000
ALLAMAKEE,1979,85000,124,75000,3300,36.4,3300
ALLAMAKEE,1980,85000,114.5,76000,3400,38.2,3400
ALLAMAKEE,1981,97000,127.2,88700,3800,38.4,3800
ALLAMAKEE,1982,94000,116.3,85800,4000,33,4000
ALLAMAKEE,1983,60000,109.6,51300,4200,37.6,4100
ALLAMAKEE,1984,85000,112.7,78600,4200,30.2,4200
ALLAMAKEE,1985,88000,114.6,81100,3900,32.4,3800
ALLAMAKEE,1986,80000,138.7,74000,4200,38.3,4200
ALLAMAKEE,1987,67000,136.2,62100,3600,43.9,3600
ALLAMAKEE,1988,66000,66.1,54500,6000,29.7,5900
ALLAMAKEE,1989,75000,122.2,65500,4700,42.3,4700
ALLAMAKEE,1990,75000,132.7,68400,4400,42,4400
ALLAMAKEE,1991,77000,132.6,71400,4900,43.3,4900
ALLAMAKEE,1992,78000,129.4,72700,5000,37.3,4800
ALLAMAKEE,1993,75000,83.2,63000,7000,35.7,6900
ALLAMAKEE,1994,77000,146.4,71200,8000,49,8000
ALLAMAKEE,1995,77000,117,71400,10000,43.7,10000
ALLAMAKEE,1996,83000,126.7,74500,12000,47.1,12000
ALLAMAKEE,1997,74900,135.3,67300,21200,45.7,19500
ALLAMAKEE,1998,74600,154.3,68900,22800,52.6,22600
ALLAMAKEE,1999,74000,151.4,67400,26000,47.3,26000
ALLAMAKEE,2000,73000,146.6,67200,28000,47.3,27900
ALLAMAKEE,2001,67000,150.3,60900,32000,41,31700
ALLAMAKEE,2002,71000,158.7,63000,27000,51,26800
ALLAMAKEE,2003,71000,142.7,62000,29000,31.7,28800
ALLAMAKEE,2004,70000,163.3,63000,30000,42.6,29900
ALLAMAKEE,2005,72000,177.4,65000,28000,56.8,27800
ALLAMAKEE,2006,69000,166.2,62100,31000,48.9,30700
ALLAMAKEE,2007,78000,167.1,71200,24000,48.4,23900
ALLAMAKEE,2008,77000,170,67500,33000,42,32800
ALLAMAKEE,2009,83000,179.6,73500,30500,45.5,30400
ALLAMAKEE,2010,86000,175.8,79500,32500,52.2,32400
ALLAMAKEE,2011,92500,173.3,86900,29900,52.1,29700
ALLAMAKEE,2012,96500,153.6,83300,30500,52.2,30400
ALLAMAKEE,2013,88500,162.1,78100,31700,50.7,31500
ALLAMAKEE,2014,94500,175.6,80400,30600,50.6,30400
ALLAMAKEE,2015,90000,175.4,82400,34600,54.1,34400
ALLAMAKEE,2016,92000,205.1,76700,32200,56.8,31800
ALLAMAKEE,2017,91500,190.5,76100,34700,52.6,34500
ALLAMAKEE,2018,93500,198.4,73700,32700,52.8,32400
