CountyName,Year,State,CN_lb/ac
ADAIR,1968,IA,23.68274743
ADAIR,1969,IA,14.60737215
ADAIR,1970,IA,14.85291802
ADAIR,1971,IA,18.58362064
ADAIR,1972,IA,18.95093693
ADAIR,1973,IA,36.61664595
ADAIR,1974,IA,42.04502487
ADAIR,1975,IA,37.14152619
ADAIR,1976,IA,45.3151938
ADAIR,1977,IA,29.20325842
ADAIR,1978,IA,26.49783522
ADAIR,1979,IA,33.75567017
ADAIR,1980,IA,33.73850496
ADAIR,1981,IA,35.64754317
ADAIR,1982,IA,31.84733703
ADAIR,1983,IA,34.3206913
ADAIR,1984,IA,33.46097083
ADAIR,1985,IA,34.54827423
ADAIR,1986,IA,35.54972185
ADAIR,1987,IA,40.98741536
ADAIR,1988,IA,40.79213989
ADAIR,1989,IA,43.24689562
ADAIR,1990,IA,47.21006772
ADAIR,1991,IA,52.89523976
ADAIR,1992,IA,51.42488551
ADAIR,1993,IA,44.01719647
ADAIR,1994,IA,60.78654405
ADAIR,1995,IA,46.76220367
ADAIR,1996,IA,60.02622199
ADAIR,1997,IA,56.81550976
ADAIR,1998,IA,55.71558441
ADAIR,1999,IA,57.44247617
ADAIR,2000,IA,54.026953
ADAIR,2001,IA,50.88035583
ADAIR,2002,IA,49.32756778
ADAIR,2003,IA,52.12879059
ADAIR,2004,IA,58.27580405
ADAIR,2005,IA,59.88152647
ADAIR,2006,IA,60.67033317
ADAIR,2007,IA,58.5743442
ADAIR,2008,IA,66.95054967
ADAIR,2009,IA,61.60574846
ADAIR,2010,IA,42.90510108
ADAIR,2011,IA,95.90719038
ADAIR,2012,IA,94.26350336
ADAIR,2013,IA,107.0941974
ADAIR,2014,IA,90.23391521
ADAIR,2015,IA,62.88696747
ADAIR,2016,IA,66.60774564
ADAIR,2017,IA,67.69547957
ADAIR,2018,IA,61.62668591
ADAIR,2019,IA,62.27953411
ADAMS,1968,IA,20.80978505
ADAMS,1969,IA,12.89593823
ADAMS,1970,IA,13.13037315
ADAMS,1971,IA,16.10155924
ADAMS,1972,IA,15.98981711
ADAMS,1973,IA,32.27444992
ADAMS,1974,IA,38.11661169
ADAMS,1975,IA,31.81549715
ADAMS,1976,IA,39.4386543
ADAMS,1977,IA,26.40764257
ADAMS,1978,IA,23.77209386
ADAMS,1979,IA,29.63557679
ADAMS,1980,IA,30.4685184
ADAMS,1981,IA,33.89272312
ADAMS,1982,IA,30.4609186
ADAMS,1983,IA,32.70207892
ADAMS,1984,IA,26.27464423
ADAMS,1985,IA,32.01440215
ADAMS,1986,IA,29.26382926
ADAMS,1987,IA,34.21996298
ADAMS,1988,IA,35.58043015
ADAMS,1989,IA,36.73300887
ADAMS,1990,IA,42.21326662
ADAMS,1991,IA,47.81821244
ADAMS,1992,IA,47.97542385
ADAMS,1993,IA,38.51798326
ADAMS,1994,IA,56.63744486
ADAMS,1995,IA,42.59070827
ADAMS,1996,IA,56.35904015
ADAMS,1997,IA,50.82783982
ADAMS,1998,IA,49.23555494
ADAMS,1999,IA,52.81526807
ADAMS,2000,IA,48.63473206
ADAMS,2001,IA,46.89196596
ADAMS,2002,IA,44.57983385
ADAMS,2003,IA,45.86330385
ADAMS,2004,IA,52.04287466
ADAMS,2005,IA,55.05341105
ADAMS,2006,IA,53.02526839
ADAMS,2007,IA,52.42073473
ADAMS,2008,IA,58.23945596
ADAMS,2009,IA,52.97626562
ADAMS,2010,IA,40.26786548
ADAMS,2011,IA,93.1797105
ADAMS,2012,IA,93.77425891
ADAMS,2013,IA,98.15820634
ADAMS,2014,IA,103.118007
ADAMS,2015,IA,50.49945334
ADAMS,2016,IA,53.53735379
ADAMS,2017,IA,54.42294655
ADAMS,2018,IA,49.46267876
ADAMS,2019,IA,49.99461836
ALLAMAKEE,1968,IA,9.384148989
ALLAMAKEE,1969,IA,3.339809356
ALLAMAKEE,1970,IA,3.728409406
ALLAMAKEE,1971,IA,5.314493938
ALLAMAKEE,1972,IA,5.710021771
ALLAMAKEE,1973,IA,17.08827185
ALLAMAKEE,1974,IA,22.97204133
ALLAMAKEE,1975,IA,18.10383672
ALLAMAKEE,1976,IA,21.13341832
ALLAMAKEE,1977,IA,10.46701526
ALLAMAKEE,1978,IA,7.948590868
ALLAMAKEE,1979,IA,13.78331735
ALLAMAKEE,1980,IA,15.3308066
ALLAMAKEE,1981,IA,16.90202719
ALLAMAKEE,1982,IA,13.70252489
ALLAMAKEE,1983,IA,13.9524853
ALLAMAKEE,1984,IA,11.26612422
ALLAMAKEE,1985,IA,12.76729831
ALLAMAKEE,1986,IA,12.97511443
ALLAMAKEE,1987,IA,14.8168028
ALLAMAKEE,1988,IA,14.81447681
ALLAMAKEE,1989,IA,15.9586091
ALLAMAKEE,1990,IA,20.39204285
ALLAMAKEE,1991,IA,24.91336899
ALLAMAKEE,1992,IA,25.75602389
ALLAMAKEE,1993,IA,20.01856405
ALLAMAKEE,1994,IA,31.99962728
ALLAMAKEE,1995,IA,22.62967256
ALLAMAKEE,1996,IA,33.28436976
ALLAMAKEE,1997,IA,32.20078993
ALLAMAKEE,1998,IA,32.63336079
ALLAMAKEE,1999,IA,35.03426487
ALLAMAKEE,2000,IA,31.5202611
ALLAMAKEE,2001,IA,34.22595761
ALLAMAKEE,2002,IA,27.67829518
ALLAMAKEE,2003,IA,28.59086699
ALLAMAKEE,2004,IA,34.25394236
ALLAMAKEE,2005,IA,33.03828673
ALLAMAKEE,2006,IA,30.00285189
ALLAMAKEE,2007,IA,23.13836467
ALLAMAKEE,2008,IA,30.69165276
ALLAMAKEE,2009,IA,24.39253966
ALLAMAKEE,2010,IA,24.74193026
ALLAMAKEE,2011,IA,41.64937308
ALLAMAKEE,2012,IA,30.73229648
ALLAMAKEE,2013,IA,30.13843542
ALLAMAKEE,2014,IA,31.22301019
ALLAMAKEE,2015,IA,33.44408657
ALLAMAKEE,2016,IA,34.90810405
ALLAMAKEE,2017,IA,35.35195911
ALLAMAKEE,2018,IA,33.05005277
ALLAMAKEE,2019,IA,33.31033409
APPANOOSE,1968,IA,8.993453474
APPANOOSE,1969,IA,2.881430861
APPANOOSE,1970,IA,2.847004892
APPANOOSE,1971,IA,5.386464451
APPANOOSE,1972,IA,5.019226073
APPANOOSE,1973,IA,17.90200524
APPANOOSE,1974,IA,23.50408325
APPANOOSE,1975,IA,18.07850906
APPANOOSE,1976,IA,20.89751425
APPANOOSE,1977,IA,9.719982533
APPANOOSE,1978,IA,7.282640268
APPANOOSE,1979,IA,13.41563582
APPANOOSE,1980,IA,14.90643241
APPANOOSE,1981,IA,15.41303742
APPANOOSE,1982,IA,13.2123761
APPANOOSE,1983,IA,13.28567261
APPANOOSE,1984,IA,9.773946762
APPANOOSE,1985,IA,11.62539579
APPANOOSE,1986,IA,11.86759647
APPANOOSE,1987,IA,14.09186119
APPANOOSE,1988,IA,13.9077172
APPANOOSE,1989,IA,15.97531683
APPANOOSE,1990,IA,20.08062054
APPANOOSE,1991,IA,23.83408223
APPANOOSE,1992,IA,25.31377729
APPANOOSE,1993,IA,18.76658131
APPANOOSE,1994,IA,31.4767809
APPANOOSE,1995,IA,21.93808977
APPANOOSE,1996,IA,32.23640633
APPANOOSE,1997,IA,31.00108324
APPANOOSE,1998,IA,30.29088654
APPANOOSE,1999,IA,32.93149804
APPANOOSE,2000,IA,30.85530397
APPANOOSE,2001,IA,31.28273802
APPANOOSE,2002,IA,26.26235993
APPANOOSE,2003,IA,27.89025128
APPANOOSE,2004,IA,32.55878692
APPANOOSE,2005,IA,32.39387722
APPANOOSE,2006,IA,31.81737953
APPANOOSE,2007,IA,24.66344885
APPANOOSE,2008,IA,33.34609501
APPANOOSE,2009,IA,28.32993349
APPANOOSE,2010,IA,17.11250505
APPANOOSE,2011,IA,75.669187
APPANOOSE,2012,IA,88.73176849
APPANOOSE,2013,IA,85.6113298
APPANOOSE,2014,IA,100.2691968
APPANOOSE,2015,IA,30.16973456
APPANOOSE,2016,IA,31.16123836
APPANOOSE,2017,IA,31.42466163
APPANOOSE,2018,IA,29.74813717
APPANOOSE,2019,IA,29.93249711
AUDUBON,1968,IA,42.1804565
AUDUBON,1969,IA,37.66553995
AUDUBON,1970,IA,41.22346286
AUDUBON,1971,IA,41.85012178
AUDUBON,1972,IA,43.59271263
AUDUBON,1973,IA,52.55969366
AUDUBON,1974,IA,54.5500258
AUDUBON,1975,IA,52.48274653
AUDUBON,1976,IA,72.43674829
AUDUBON,1977,IA,60.91531843
AUDUBON,1978,IA,58.0105484
AUDUBON,1979,IA,63.66182378
AUDUBON,1980,IA,62.78388597
AUDUBON,1981,IA,69.63429138
AUDUBON,1982,IA,62.31038866
AUDUBON,1983,IA,60.59196025
AUDUBON,1984,IA,64.39551732
AUDUBON,1985,IA,69.45955933
AUDUBON,1986,IA,64.62539558
